country,name,full_name,isin,currency,ticker
brazil,ABC BRASIL PN,Banco ABC Brasil SA,BRABCBACNPR4,BRL,ABCB4.SA
brazil,BRASILAGRO ON,BrasilAgro - Co ON NM,BRAGROACNOR7,BRL,AGRO3.SA
brazil,RUMO ON NM,RUMO Logistica Operadora Multimodal SA,BRRAILACNOR9,BRL,RAIL3.SA
brazil,ALPARGATAS ON,Alpargatas SA,BRALPAACNOR0,BRL,ALPA3.SA
brazil,ALPARGATAS PN,Alpargatas SA,BRALPAACNPR7,BRL,ALPA4.SA
brazil,Aliansce Sonae,Aliansce Sonae Shopping Centers SA,BRALSOACNOR5,BRL,ALSO3.SA
brazil,LOJAS MARISA ON,Marisa Lojas SA,BRAMARACNOR4,BRL,AMAR3.SA
brazil,AMBEV S/A ON,Ambev SA,BRABEVACNOR1,BRL,ABEV3.SA
brazil,Advanced Digital Health,Advanced Digital Health Medicina Preventiva SA,BRADHMACNOR9,BRL,ADHM3.SA
brazil,AREZZO CO ON,Arezzo Industria e Comercio SA,BRARZZACNOR3,BRL,ARZZ3.SA
brazil,BRASIL ON,Banco do Brasil SA,BRBBASACNOR3,BRL,BBAS3.SA
brazil,BRADESCO ON,Banco Bradesco SA,BRBBDCACNOR1,BRL,BBDC3.SA
brazil,BRADESCO PN EJ N1,Banco Bradesco SA Pref,BRBBDCACNPR8,BRL,BBDC4.SA
brazil,BR BROKERS ON,Brasil Brokers Participacoes SA,BRBBRKACNOR4,BRL,BBRK3.SA
brazil,MINERVA ON,Minerva SA/Brazil,BRBEEFACNOR6,BRL,BEEF3.SA
brazil,BR PHARMA ON,Brasil Pharma SA,BRBPHAACNOR6,BRL,BPHA3.SA
brazil,BANCO PAN SA PN,Banco Pan SA,BRBPANACNPR1,BRL,BPAN4.SA
brazil,BRADESPAR ON,Bradespar SA,BRBRAPACNOR5,BRL,BRAP3.SA
brazil,BRADESPAR PN,Bradespar SA,BRBRAPACNPR2,BRL,BRAP4.SA
brazil,BRF SA ON,BRF SA,BRBRFSACNOR8,BRL,BRFS3.SA
brazil,BR Insurance Corretora,BR Insurance Corretora de Seguros SA,BRAPERACNOR9,BRL,APER3.SA
brazil,BRASKEM ON,Braskem SA,BRBRKMACNOR1,BRL,BRKM3.SA
brazil,BRASKEM PNA,Braskem SA,BRBRKMACNPA4,BRL,BRKM5.SA
brazil,BR MALLS PAR ON,BR Malls Participacoes SA,BRBRMLACNOR9,BRL,BRML3.SA
brazil,BR PROPERT ON,BR Properties SA,BRBRPRACNOR9,BRL,BRPR3.SA
brazil,BANRISUL PNB,BANRISUL PNB N1,BRBRSRACNPB4,BRL,BRSR6.SA
brazil,OI ON N1,Oi SA,BROIBRACNOR1,BRL,OIBR3.SA
brazil,OI PN,Oi SA Pref,BROIBRACNPR8,BRL,OIBR4.SA
brazil,B2W DIGITAL ON,B2W Cia Digital,BRBTOWACNOR8,BRL,BTOW3.SA
brazil,B3 SA Brasil Bolsa Balcao,B3 SA Brasil Bolsa Balcao,BRB3SAACNOR6,BRL,B3SA3.SA
brazil,CAMBUCI PN,Cambuci SA,BRCAMBACNPR1,BRL,CAMB4.SA
brazil,CSU CARDSYST ON,CSU Cardsystem SA,BRCARDACNOR9,BRL,CARD3.SA
brazil,CYRE COM-CCP ON,Cyrela Commercial Properties SA,BRCCPRACNOR9,BRL,CCPR3.SA
brazil,CCR SA ON,CCR SA,BRCCROACNOR2,BRL,CCRO3.SA
brazil,CEDRO PN,CEDRO PN N1,BRCEDOACNPR5,BRL,CEDO4.SA
brazil,CEEE-D ON,CEEE-D ON N1,BRCEEDACNOR9,BRL,CEED3.SA
brazil,CESP PNB,Cia Energetica de Sao Paulo,BRCESPACNPB4,BRL,CESP6.SA
brazil,COMGAS PNA,Companhia de Gas de Sao Paulo,BRCGASACNPA3,BRL,CGAS5.SA
brazil,GRAZZIOTIN PN,Grazziotin SA,BRCGRAACNPR9,BRL,CGRA4.SA
brazil,CIELO ON,Cielo SA,BRCIELACNOR3,BRL,CIEL3.SA
brazil,CEMIG ON,Cia Energetica de Minas Gerais,BRCMIGACNOR6,BRL,CMIG3.SA
brazil,CEMIG PN,CEMIG - Companhia Energetica Minas Gerais Pref,BRCMIGACNPR3,BRL,CMIG4.SA
brazil,COELCE PNA,Cia Energetica do Ceara,BRCOCEACNPA3,BRL,COCE5.SA
brazil,CPFL ENERGIAON NM,CPFL Energia SA,BRCPFEACNOR0,BRL,CPFE3.SA
brazil,COPEL ON,Cia Paranaense de Energia,BRCPLEACNOR8,BRL,CPLE3.SA
brazil,COPEL PNB,Cia Paranaense de Energia,BRCPLEACNPB9,BRL,CPLE6.SA
brazil,CR2 ON,CR2 Empreendimentos Imobiliarios SA,BRCRDEACNOR1,BRL,CRDE3.SA
brazil,COSAN ON,Cosan SA Industria e Comercio,BRCSANACNOR6,BRL,CSAN3.SA
brazil,COPASA ON,Cia de Saneamento de Minas Gerais,BRCSMGACNOR5,BRL,CSMG3.SA
brazil,SID NACIONAL ON,Cia Siderurgica Nacional SA,BRCSNAACNOR6,BRL,CSNA3.SA
brazil,Contax Participacoes,Contax Participacoes SA,BRLIQOACNOR2,BRL,LIQO3.SA
brazil,COTEMINAS PN,COTEMINAS PN,BRCTNMACNPR6,BRL,CTNM4.SA
brazil,CYRELA REALT ON,Cyrela Brazil Realty SA,BRCYREACNOR7,BRL,CYRE3.SA
brazil,DASA ON,Diagnosticos da America SA,BRDASAACNOR1,BRL,DASA3.SA
brazil,DIRECIONAL ON,Direcional Engenharia SA,BRDIRRACNOR0,BRL,DIRR3.SA
brazil,DURATEX ON,Duratex SA,BRDTEXACNOR3,BRL,DTEX3.SA
brazil,ECORODOVIAS ON,EcoRodovias SA,BRECORACNOR8,BRL,ECOR3.SA
brazil,CEEE-GT ON,CEEE-GT ON N1,BREEELACNOR8,BRL,EEEL3.SA
brazil,ELEKEIROZ PN,Elekeiroz SA,BRELEKACNPR2,BRL,ELEK4.SA
brazil,ELETROBRAS ON,Centrais Eletricas Brasileiras SA,BRELETACNOR6,BRL,ELET3.SA
brazil,ELETROBRAS PNB,Centrais Eletricas Brasileiras SA,BRELETACNPB7,BRL,ELET6.SA
brazil,EMBRAER ON,Embraer SA,BREMBRACNOR4,BRL,EMBR3.SA
brazil,ENERGIAS BR ON,EDP - Energias do Brasil SA,BRENBRACNOR2,BRL,ENBR3.SA
brazil,ENERGISA PN,Energisa SA,BRENGIACNPR7,BRL,ENGI4.SA
brazil,EQUATORIAL ON,Equatorial Energia SA,BREQTLACNOR0,BRL,EQTL3.SA
brazil,YDUQS Part ON,YDUQS Part ON,BRYDUQACNOR3,BRL,YDUQ3.SA
brazil,ETERNIT ON,Eternit SA,BRETERACNOR3,BRL,ETER3.SA
brazil,EUCATEX PN,Eucatex SA Industria e Comercio,BREUCAACNPR8,BRL,EUCA4.SA
brazil,EVEN ON,Even Construtora e Incorporadora SA,BREVENACNOR8,BRL,EVEN3.SA
brazil,EZTEC ON,Ez Tec SA,BREZTCACNOR0,BRL,EZTC3.SA
brazil,FERBASA PN,Cia de Ferro Ligas da Bahia Ferbasa,BRFESAACNPR5,BRL,FESA4.SA
brazil,FER HERINGER ON,Fertilizantes Heringer SA,BRFHERACNOR5,BRL,FHER3.SA
brazil,Taurus Armas PN,Taurus Armas PN,BRTASAACNPR4,BRL,TASA4.SA
brazil,FLEURY ON,Fleury SA,BRFLRYACNOR5,BRL,FLRY3.SA
brazil,METALFRIO ON,Metalfrio Solutions SA,BRFRIOACNOR2,BRL,FRIO3.SA
brazil,AES TIETE E ON N2,Aes Tiete Energia SA,BRTIETACNOR0,BRL,TIET3.SA
brazil,AES TIETE E PN N2,Aes Tiete Energia SA,BRTIETACNPR7,BRL,TIET4.SA
brazil,GAFISA ON,Gafisa SA,BRGFSAACNOR3,BRL,GFSA3.SA
brazil,GERDAU ON,Gerdau SA,BRGGBRACNOR1,BRL,GGBR3.SA
brazil,GERDAU PN N1,Gerdau SA Pref,BRGGBRACNPR8,BRL,GGBR4.SA
brazil,GERDAU MET ON,Metalurgica Gerdau SA,BRGOAUACNOR1,BRL,GOAU3.SA
brazil,GERDAU MET PN,Metalurgica Gerdau SA,BRGOAUACNPR8,BRL,GOAU4.SA
brazil,GOL PN N2,Gol Linhas Aereas Inteligentes SA Pref,BRGOLLACNPR4,BRL,GOLL4.SA
brazil,GRENDENE ON,Grendene SA,BRGRNDACNOR3,BRL,GRND3.SA
brazil,GENERALSHOPP ON,General Shopping Brasil SA,BRGSHPACNOR7,BRL,GSHP3.SA
brazil,HELBOR ON,Helbor Empreendimentos SA,BRHBORACNOR3,BRL,HBOR3.SA
brazil,CIA HERING ON,Cia Hering,BRHGTXACNOR9,BRL,HGTX3.SA
