city,state,country,industry,sector,ticker
São Paulo,SP,Brazil,Banks—Regional,Financial Services,ABCB4.SA
Sao Paulo,SP,Brazil,Farm Products,Consumer Defensive,AGRO3.SA
Curitiba,PR,Brazil,Railroads,Industrials,RAIL3.SA
São Paulo,SP,Brazil,Footwear & Accessories,Consumer Cyclical,ALPA3.SA
São Paulo,SP,Brazil,Footwear & Accessories,Consumer Cyclical,ALPA4.SA
Rio De Janeiro,RJ,Brazil,Real Estate Services,Real Estate,ALSO3.SA
São Paulo,SP,Brazil,Apparel Retail,Consumer Cyclical,AMAR3.SA
São Paulo,SP,Brazil,Beverages—Brewers,Consumer Defensive,ABEV3.SA
,,,,,ADHM3.SA
Belo Horizonte,MG,Brazil,Footwear & Accessories,Consumer Cyclical,ARZZ3.SA
Brasília,DF,Brazil,Banks—Regional,Financial Services,BBAS3.SA
Osasco,SP,Brazil,Banks—Regional,Financial Services,BBDC3.SA
Osasco,SP,Brazil,Banks—Regional,Financial Services,BBDC4.SA
,,,,,BBRK3.SA
Barretos,SP,Brazil,Farm Products,Consumer Defensive,BEEF3.SA
,,,,,BPHA3.SA
São Paulo,SP,Brazil,Banks—Regional,Financial Services,BPAN4.SA
São Paulo,SP,Brazil,Asset Management,Financial Services,BRAP3.SA
São Paulo,SP,Brazil,Asset Management,Financial Services,BRAP4.SA
São Paulo,SP,Brazil,Packaged Foods,Consumer Defensive,BRFS3.SA
São Paulo,SP,Brazil,Insurance Brokers,Financial Services,APER3.SA
São Paulo,SP,Brazil,Chemicals,Basic Materials,BRKM3.SA
São Paulo,SP,Brazil,Chemicals,Basic Materials,BRKM5.SA
,,,,,BRML3.SA
São Paulo,SP,Brazil,Real Estate Services,Real Estate,BRPR3.SA
Porto Alegre,RS,Brazil,Banks—Regional,Financial Services,BRSR6.SA
Rio De Janeiro,RJ,Brazil,Telecom Services,Communication Services,OIBR3.SA
Rio De Janeiro,RJ,Brazil,Telecom Services,Communication Services,OIBR4.SA
,,,,,BTOW3.SA
São Paulo,SP,Brazil,Financial Data & Stock Exchanges,Financial Services,B3SA3.SA
,,,,,CAMB4.SA
,,,,,CARD3.SA
,,,,,CCPR3.SA
São Paulo,SP,Brazil,Infrastructure Operations,Industrials,CCRO3.SA
